id_restroom,Name,Latitude,Longitude,Location
2127,West Elm,40.7701,-73.981796,"1870 Broadway, New York, NY 10023"
2128,Bloomingdale’s,40.7221565,-73.9992178,504 Broadway
2129,Bryant Park public bathrooms,40.7576192,-73.9907177,"W 42nd St, New York, NY 10018"
2130,Barnes & Noble,40.6687568,-73.9797731,"267 Seventh Ave., Park Slope"
2131,Queens Public Library,40.7768721,-73.9094996,"Steinway, 21-45 31st St., Ditmars Steinway"
2132,Harry Potter New York,40.7405933,-73.9896246,935 Broadway
2133,McGorlick Park,40.7244763,-73.9433497,Russell St and Nassau Ave
2134,Starbucks,40.6537842,-73.9561746,North Seventh Street and Bedford Avenue
2135,Sweetgreen,40.6537842,-73.9561746,North Fourth Street and Bedford Avenue
2136,La Guardia Playground,40.7769271,-73.8739659,South Fourth and Roebling
2137,Home Depot,40.6913336,-73.951757,Dekalb and Nostrand
2138,David’s Brisket House ,40.6791067,-73.9494917,Nostrand Avenue and Herkimer Street
2139,Target in City Point,40.6909398,-73.9830629,Flatbush Avenue and Fleet Street
2140,Greenlight Bookstore ,40.6861913,-73.9746294,Fulton Street and South Portland Avenue
2141,Guitar Center in Atlantic Center,40.6841079,-73.9774627,Atlantic and Flatbush Avenues
2142,Target in Atlantic Center,40.6841079,-73.9774627,Atlantic and Flatbush Avenues
2143,Whole Foods 365 ,40.6862137,-73.9787227,Flatbush and Lafayette Avenues
2144,Lincoln Station ,40.6726783,-73.9623972,Lincoln Place and Washington Ave
2145,Brooklyn Public Library ,40.6725111,-73.9682,Grand Army Plaza
2146,Dekalb Market Hall,40.692495,-73.9913998,Honeygrow at Joralemon and Court Streets
2147,Lefrak Center ,40.6572752,-73.9641611,Prospect Park
2148,McDonald’s ,40.6414876,-73.9593998,Empire and Flatbush
2149,Brookfield Place ,40.7127168,-74.0152824,West Street right across from the World Trade Center
2150,Fulton Street Subway Complex ,40.709373,-74.0083258,Broadway and Fulton
2151,Pret A Manger ,40.7098132,-74.0099795,Broadway and Cortland
2152,Pret A Manger ,40.7110639,-74.0106584,Park Place and Church Street
2153,Starbucks ,40.7198459,-74.0051944,Walker Street and Sixth Avenue
2154,McDonalds ,40.7184874,-73.9882374,Delancey and Essex Streets
2155,Peoples Wine ,40.7201909,-73.993341,Essex Market on Delancey St
2156,Starbucks ,40.7191053,-73.9902793,Delancey Street and Allen Street
2157,Tenement Museum ,40.718818,-73.9900876,Delancey and Orchard
2158,REI ,29.7604267,-95.3698028,Lafayette and Houston
2159,Crate and Barrel ,29.7604267,-95.3698028,Broadway and Houston
2160,Blue Ribbon Fried Chicken,40.7245411,-73.9910082,First Street and Second Avenue
2161,The Standard Hotel,40.7278896,-73.9907987,Cooper Sq. and East Fifth
2162,Starbucks ,40.6897488,-73.9525304,Eighth Street and Lafayette Avenue (Astor Place)
2163,Swiss Institute ,40.7284172,-73.9875484,St Marks and Second Ave
2164,Tompkins Square Bagels ,40.728228,-73.982291,10th Street and Avenue A
2165,The Strand ,40.7594434,-73.9851362,Broadway between 12th and 13th Street
2166,Starbucks ,40.7200627,-74.0047478,Sixth Ave and Waverly
2167,Chipotle ,40.7364652,-73.997176,Sixth Avenue and Greenwich Avenue
2168,Barnes and Noble ,40.7358633,-73.9910835,East 17th at the top of Union Square
2169,Trader Joe’s ,37.7243456,-97.3482114,Sixth Avenue between 21st and 22nd Streets
2170,Home Depot,40.742903,-73.9927978,23rd between Fifth and Sixth Avenues
2171,Pret A Manger ,40.7490929,-73.9969488,28th Street and Park Avenue South
2172,Five Guys ,40.7479506,-73.9926029,Seventh Avenue between 29th and 30th
2173,Bread & Butter,40.7466222,-73.9856639,31st Street and Fifth Avenue
2174,Macy’s Herald Square,40.750831,-73.9890961,34th Street between 6th Avenue and Broadway
2175,Chipotle ,40.7484451,-73.9845677,34th Street and Fifth Avenue
2176,TGI Fridays ,40.750568,-73.993519,"211 W 34th St., New York, NY 10001"
2177,McDonald’s ,40.6545065,-74.0042335,36th Street and Sixth Ave
2178,Chipotle ,40.7517748,-73.9900696,Seventh Avenue between 37th and 38th Streets
2179,Ole & Steen ,40.7535965,-73.9832326,40th St and 6th Ave/Bryant Park
2180,McDonald’s second-floor men’s room ,40.8130005,-73.9379795,42nd Street and Fifth Avenue
2181,Five Guys ,40.7572074,-73.9891498,West 42nd Street between Seventh and Eighth Avenues
2182,Marriott Marquis ,40.7585862,-73.9858202,"Times Square, 46th and Broadway"
2183,Smashburger ,40.7579747,-73.9855426,"8th Ave, Times Square"
2184,Starbucks ,40.7594434,-73.9851362,47th and Broadway
2185,Chop’t ,40.7632683,-73.9864745,51st Street between Sixth and Seventh Avenues
2186,Starbucks ,40.7594434,-73.9851362,54th Street and Broadway
2187,Argo Tea ,40.767848,-73.9815219,Columbus Circle
2188,Gertrude Ederle Recreation Center,40.7712516,-73.988706,60th St and West End Ave
2189,Trader Joe’s ,40.7787998,-73.9820622,72nd Street and Broadway
2190,Bloomingdale’s Outlet ,40.7791294,-73.9822195,72nd and Broadway
2191,Shake Shack,40.7789692,-73.954976,86th Street and Lexington Avenue
2192,Petco ,40.7780641,-73.9521899,Lexington between 86th and 87th Streets
2193,Target ,40.7956542,-73.930725,117th Street and Pleasant Avenue
2194,Guitar Center ,40.7887343,-73.7056266,Northern Blvd and 48th Street
2195,Hart Playground ,40.7486783,-73.8974036,65th Street between Broadway and 37th Ave
2196,JC Penney at Queens Center Mall,40.7349792,-73.8678085,Queens Blvd and 59th Ave
2197,Taco Bell,40.703973,-73.7991605,Jamaica Ave. and 160th Street
